Type,Name,URL,Date,Claim,Verdict
Claim,Fotoğrafın İtalya’daki maden işçilerinin Soma’da hayatını kaybeden madencileri andığını gösterdiği iddiası,https://teyit.org/fotografin-italyadaki-maden-iscilerinin-somada-hayatini-kaybeden-madencileri-andigini-gosterdigi-iddiasi/,2019-06-11,"İDDİA: Fotoğraf, İtalya’daki maden işçilerinin Soma’da hayatını kaybeden madencileri anmasını gösteriyor.",YANLIŞ
Claim,Cumhurbaşkanlığı Sarayı’nın içinde ve dışında Türk bayrağı bulunmadığı iddiası,https://teyit.org/cumhurbaskanligi-sarayinin-icinde-ve-disinda-turk-bayragi-bulunmadigi-iddiasi-2/,2019-06-16,İDDİA: Cumhurbaşkanlığı Sarayı’nın içinde ve dışında Türk bayrağı yok.,YANLIŞ
Claim,Videonun Gyro Drop isimli lunapark oyuncağını gösterdiği iddiası,https://teyit.org/videonun-gyro-drop-isimli-lunapark-oyuncagini-gosterdigi-iddiasi/,2019-06-15,İDDİA: Video gyro drop isimli lunapark oyuncağını gösteriyor.,YANLIŞ
Claim,Videonun Gaziantep’te dans eden Suriyeli mültecileri gösterdiği iddiası,https://teyit.org/videonun-gaziantepte-dans-eden-suriyeli-multecileri-gosterdigi-iddiasi/,2019-06-12,"İDDİA: Video, Gaziantep’te dans eden Suriyeli mültecileri gösteriyor.",YANLIŞ
Claim,İlyas Salman’ın hayatını kaybettiği iddiası,https://teyit.org/ilyas-salmanin-hayatini-kaybettigi-iddiasi/,2019-05-27,İDDİA: Sanatçı İlyas Salman hayatını kaybetti.,YANLIŞ
Claim,Fotoğrafın Hatay’da çöken yolu gösterdiği iddiası,https://teyit.org/fotografin-hatayda-coken-yolu-gosterdigi-iddiasi/,2019-05-27,"İDDİA: Fotoğraf, Hatay’da çöken yolu gösteriyor.",YANLIŞ
Claim,Sultanahmet Camisi’nin restorasyonu sırasında 400 yıllık pencerelerin kırıldığı iddiası,https://teyit.org/sultanahmet-camisinin-restorasyonu-sirasinda-400-yillik-pencerelerin-kirildigi-iddiasi/,2019-05-27,İDDİA: Sultanahmet Camisi restorasyonu sırasında 400 yıllık pencereler kırıldı.,YANLIŞ
Claim,Fotoğrafın Erdoğan’ın cuma namazı konvoyunu gösterdiği iddiası,https://teyit.org/fotografin-erdogan-in-cuma-namazi-konvoyunu-gosterdigi-iddiasi/,2019-05-28,"İDDİA: Fotoğraf, cuma namazına giden Recep Tayyip Erdoğan'ın konvoyunu gösteriyor.",YANLIŞ
Claim,Ekrem İmamoğlu ‘PKK ve FETÖ’ye çağrı yapıyorum Türkiye’yi beraber yönetelim’ dedi mi?,https://teyit.org/ekrem-imamoglu-pkk-ve-fetoye-cagri-yapiyorum-turkiyeyi-beraber-yonetelim-dedi-mi/,2019-05-29,İDDİA: Ekrem İmamoğlu “PKK ve FETÖ’ye çağrı yapıyorum. Gelin Türkiye’yi beraber yönetelim” dedi.,YANLIŞ
Claim,Akkoyun Kasabı’nın seçim için ‘Beyin Bedava’ yazılı bir pankart astığı doğru mu?,https://teyit.org/akkoyun-kasabinin-secim-icin-beyin-bedava-yazili-bir-pankart-astigi-dogru-mu/,2019-05-29,İDDİA / Fotoğraf: Akkoyun Kasabı’nın seçime özel “Beyin Bedava” kampanyası.,YANLIŞ
Claim,Erdoğan’ın boykot çağrısından sonra Apple ürünleri hakkında ortaya atılan iddialar,https://teyit.org/erdoganin-boykot-cagrisindan-sonra-apple-urunleri-hakkinda-ortaya-atilan-iddialar/,2018-09-11,Türkiye 1.9 milyon Apple satışı ile Dünya sıralamasında birinci oldu.,YANLIŞ
Claim,Türkiye’nin İslam’a en uygun yaşayan ülkeler arasında 95. sırada yer aldığı iddiası,https://teyit.org/turkiyenin-islama-en-uygun-yasayan-ulkeler-arasinda-95-sirada-yer-aldigi-iddiasi/,2019-05-27,İDDİA: 2018 İslamilik Endeksi’ne göre Türkiye “İslam’a en uygun yaşayan ülkeler arasında 95. sırada yer alıyor.,DOĞRU
Claim,Fotoğraflar Ekrem İmamoğlu’nun İsrail Başbakanı ve bir grup hahamla yaptığı görüşmeleri göstermiyor,https://teyit.org/fotograflar-ekrem-imamoglunun-israil-basbakani-ve-bir-grup-hahamla-yaptigi-gorusmeleri-gostermiyor/,2019-05-20,İDDİA: Fotoğraflar Ekrem İmamoğlu’nun İsrail Başbakanı Benjamin Netanyahu ve bir grup hahamla yaptığı görüşmeleri gösteriyor.,YANLIŞ
Claim,Her beğeni veya paylaşımın 1 dolar değerinde olduğu belirtilen UNICEF kampanyası iddiası,https://teyit.org/her-begeni-veya-paylasimin-1-dolar-degerinde-oldugu-belirtilen-unicef-kampanyasi-iddiasi/,2019-05-21,İDDİA: UNICEF her beğeni veya paylaşımın 1 dolar değerinde olduğunu belirttiği bir kampanya başlattı.,DOĞRU
Claim,MEB’in yeni lise sisteminde matematiğin seçmeli ders olduğu iddiası,https://teyit.org/mebin-yeni-lise-sisteminde-matematigin-secmeli-ders-oldugu-iddiasi/,2019-05-21,İDDİA: MEB’in liselere getirdiği yeni sistemde matematik seçmeli ders oldu.,YANLIŞ
Claim,Fotoğrafın Saadet Partisi Genel Başkanı Temel Karamollaoğlu’nu rakı içerken gösterdiği iddiası,https://teyit.org/fotografin-saadet-partisi-genel-baskani-temel-karamollaoglunu-raki-icerken-gosterdigi-iddiasi/,2019-05-21,İDDİA / Fotoğraf: Fotoğraf Saadet Partisi Genel Başkanı Temel Karamollaoğlu’nun rakı içtiğini gösteriyor.,YANLIŞ
Claim,Seğmenler Parkı’na dikilen heykelin maliyetinin 350 bin dolar olduğu iddiası,https://teyit.org/segmenler-parkina-dikilen-heykelin-maliyetinin-350-bin-dolar-oldugu-iddiasi/,2019-05-22,İDDİA: Ankara Büyükşehir Belediyesi Başkanı Mansur Yavaş’ın açılışını yaptığı heykelin maliyeti 350 bin dolar.,YANLIŞ
Claim,YSK’nın İBB Başkanlığı seçimine dair açıkladığı gerekçeli kararla ilgili iddialar,https://teyit.org/ysknin-ibb-baskanligi-secimine-dair-acikladigi-gerekceli-kararla-ilgili-iddialar/,2019-05-23,İDDİA: YSK açıkladığı gerekçeli kararda 35 bin geçersiz oyun CHP’ye yazıldığını ve İstanbul’da 300 binden fazla şüpheli oy olduğunu belirtti.,YANLIŞ
Claim,Fotoğrafın Binali Yıldırım’a verilen tablodaki çizimi gösterdiği iddiası,https://teyit.org/fotografin-binali-yildirima-verilen-tablodaki-cizimi-gosterdigi-iddiasi/,2019-05-24,İDDİA: Fotoğraf Binali Yıldırım’a verilen tablodaki çizimi gösteriyor.,YANLIŞ
Claim,Fotoğrafın Ramazan ayında gizlice su içen Ekrem İmamoğlu’nu gösterdiği iddiası,https://teyit.org/fotografin-ramazan-ayinda-gizlice-su-icen-ekrem-imamoglunu-gosterdigi-iddiasi/,2019-05-24,İDDİA / Fotoğraf: Ekrem İmamoğlu Ramazan ayında gizli gizli su içti.,YANLIŞ
Claim,Beylikdüzü Belediyesi binasında T.C. ibaresi olmadığı iddiası,https://teyit.org/beylikduzu-belediyesi-binasinda-t-c-ibaresi-olmadigi-iddiasi/,2019-05-07,"İDDİA: İstanbul Büyükşehir Belediye Başkanı seçilen Ekrem İmamoğlu’nun, beş yıl görev yaptığı Beylikdüzü Belediyesi binasında Türkiye Cumhuriyeti (T.C.) ibaresi yok.",YANLIŞ
Claim,MEB’in Almanca ders kitabında bir kadının montajla başörtülü gösterildiği iddiası,https://teyit.org/mebin-almanca-ders-kitabinda-bir-kadinin-montajla-basortulu-gosterildigi-iddiasi/,2019-05-07,İDDİA: Milli Eğitim Bakanlığı’nın okullara dağıttığı Almanca ders kitabında yer alan bir fotoğraftaki kadına sonradan başörtüsü eklenmiş.,DOĞRU
Claim,A Haber’in ‘CHP’nin akıl almaz nanoteknolojik hilesi’ alt bandı kullandığı iddiası,https://teyit.org/a-haberin-chpnin-akil-almaz-nanoteknolojik-hilesi-alt-bandi-kullandigi-iddiasi/,2019-05-08,"İDDİA: A Haber ""CHP'nin akılalmaz nanoteknolojik hilesi"" şeklinde bir alt bant kullandı.",YANLIŞ
Claim,100 bin polis başka şehirden gelip 23 Haziran’da İstanbul’da oy kullanabilir mi?,https://teyit.org/100-bin-polis-baska-sehirden-gelip-23-haziranda-istanbulda-oy-kullanabilir-mi/,2019-05-09,İDDİA: Polisler ikamet zorunlulukları olmadığı için 23 Haziran’daki İstanbul Büyükşehir Belediyesi seçimlerinde İstanbul dışından gelip oy kullanabilecekler.,YANLIŞ
Claim,Ekrem İmamoğlu’nun gittiği iftarda yemeklerin tabldotta servis edildiği iddiası,https://teyit.org/ekrem-imamoglunun-gittigi-iftarda-yemeklerin-tabldotta-servis-edildigi-iddiasi/,2019-05-10,"İDDİA: Fotoğraf, Ekrem İmamoğlu’nun 2019 yılında iftar için ziyaret ettiği evde, ev sahiplerinin yemeği tabldot ile ikram ettiğini gösteriyor.",YANLIŞ
Claim,Milletvekillerine 20 bin TL bayram ikramiyesi veren kanun teklifinin kabul edildiği iddiası,https://teyit.org/milletvekillerine-20-bin-tl-bayram-ikramiyesi-veren-kanun-teklifinin-kabul-edildigi-iddiasi/,2019-05-13,İDDİA: Milletvekillerine 20 bin TL bayram ikramiyesi verilmesi kararı AKP ve MHP oylarıyla kabul edildi.,YANLIŞ
Claim,Ali İhsan Yavuz ve Recep Özel’in ABD’de çektirdiği fotoğraftaki kişilerin YSK üyesi olduğu iddiası,https://teyit.org/ali-ihsan-yavuz-ve-recep-ozelin-abdde-cektirdigi-fotograftaki-kisilerin-ysk-uyesi-oldugu-iddiasi/,2019-05-13,"İDDİA / Fotoğraf: Recep Özel ve Ali İhsan Yavuz, ABD ziyaretleri sırasında İstanbul Büyükşehir Belediyesi seçimlerinin iptali yönünde karar veren YSK üyesi 2 hakimle birlikteydi.",YANLIŞ
Claim,İmamoğlu’nun katıldığı iftardaki başörtülü kadının ‘erkek’ olduğu iddiası,https://teyit.org/imamoglunun-katildigi-iftardaki-basortulu-kadinin-erkek-oldugu-iddiasi/,2019-05-13,"İDDİA: Ekrem İmamoğlu'nun iftar ziyareti kurgu, fotoğraftaki başörtülü kadın ise kurgu gereği kadın kıyafetleri giymiş bir erkek.",YANLIŞ
Claim,Fotoğrafın Erdoğan’ın İstiklal Marşı okunurken ayağa kalkmadığını gösterdiği iddiası,https://teyit.org/fotografin-erdoganin-istiklal-marsi-okunurken-ayaga-kalkmadigini-gosterdigi-iddiasi/,2019-05-14,İDDİA / Fotoğraf: Recep Tayyip Erdoğan İstiklal Marşı okunurken ayağa kalkmadı.,YANLIŞ
Claim,Ekrem İmamoğlu cenaze işlerini ücretli hale mi getirdi?,https://teyit.org/ekrem-imamoglu-cenaze-islerini-ucretli-hale-mi-getirdi/,2019-05-17,İDDİA: Ekrem İmamoğlu’nun ücretli hale getirdiği cenaze işleri vekil olarak atanan başkan tarafından iptal edildi.,YANLIŞ
Claim,Adalar’da faytonların kaldırıldığını açıklayan hesap Erdem Gül’e ait değil,https://teyit.org/adalarda-faytonlarin-kaldirildigini-aciklayan-hesap-erdem-gule-ait-degil/,2019-05-15,İDDİA: Adalar Belediye Başkanı Erdem Gül’ün faytonlar hakkında attığı tweet.,YANLIŞ
Claim,Atatürk’ün hayatındaki 19 sayısına dayandırılan tesadüflerle ilgili iddialar,https://teyit.org/ataturkun-hayatindaki-19-sayisina-dayandirilan-tesaduflerle-ilgili-iddialar/,2017-11-10,İDDİA: Atatürk’ün nüfus kütük numarası 19’du. Nüfus cüzdanı numarası ise 19’un katı olan 993814 sayısıydı.,KARMA
Claim,Videonun mutluluk hormonunu gösterdiği iddiası,https://teyit.org/videonun-mutluluk-hormonunu-gosterdigi-iddiasi/,2019-05-06,İDDİA: Video mutluluk hormonunu gösteriyor.,YANLIŞ
Claim,Fotoğraflar Kılıçdaroğlu’na yapılan saldırıda ‘Evi yakın’ diye bağıran kişiye mi ait?,https://teyit.org/fotograflar-kilicdarogluna-yapilan-saldirida-evi-yakin-diye-bagiran-kisiye-mi-ait/,2019-04-30,İDDİA / Fotoğraf: Çubuk’ta Kemal Kılıçdaroğlu’na yönelik gerçekleşen saldırı sırasında Kılıçdaroğlu’nun arabasını taşlayan ve “Evi yakın!” diye bağıran kişi fotoğraftaki Fatma Başaran.,YANLIŞ
Claim,Fotoğraf Küçükçekmece’de kız çocuğuna cinsel istismarda bulunan şahsı göstermiyor,https://teyit.org/fotograf-kucukcekmecede-kiz-cocuguna-cinsel-istismarda-bulunan-sahsi-gostermiyor/,2019-04-30,İDDİA: Fotoğraf Küçükçekmece'de kız çocuğuna cinsel istismarda bulunan ve hala aranmakta olan şahsı gösteriyor.,YANLIŞ
Claim,Osman Sarıgün’ü serbest bırakan savcı Ensar Vakfı’nın Ankara Şube Başkanı mıydı?,https://teyit.org/osman-sarigunu-serbest-birakan-savci-ensar-vakfinin-ankara-sube-baskani-miydi/,2019-05-03,İDDİA: Kemal Kılıçdaroğlu’na saldırının savcısı Ercan Poyraz eskiden Ensar Vakfı Ankara başkanıydı.,DOĞRU
Claim,İzmir ve Eskişehir Büyükşehir Belediyeleri’nin isim levhalarında T.C. yazmadığı iddiası,https://teyit.org/izmir-ve-eskisehir-buyuksehir-belediyelerinin-isim-levhalarinda-t-c-yazmadigi-iddiasi/,2019-05-06,İDDİA: İzmir ve Eskişehir Büyükşehir Belediye binalarının isim levhalarında Türkiye  Cumhuriyeti (T.C.) ibaresi yok.,KARMA
Claim,PTT’nin bekçi alımı için ücreti 250 TL olan bir sınav yaptığı ve bu sınava 350 bin kişinin başvurduğu iddiası,https://teyit.org/pttnin-bekci-alimi-icin-ucreti-250-tl-olan-bir-sinav-yaptigi-ve-bu-sinava-350-bin-kisinin-basvurdugu-iddiasi/,2019-05-06,İDDİA: PTT'nin bekçilik sınavına başvuru ücreti 250 TL ve toplamda 350 bin kişi bu sınava başvurdu.,YANLIŞ
Claim,Video Kılıçdaroğlu’nun Çubuk’ta uğradığı saldırıdan sonra söylediklerini göstermiyor,https://teyit.org/video-kilicdaroglunun-cubukta-ugradigi-saldiridan-sonra-soylediklerini-gostermiyor/,2019-04-21,İDDİA: Kılıçdaroğlu'nun 21 Nisan 2019'da Çubuk'taki şehit cenazesinden sonra yaptığı açıklamayı gösteren video.,YANLIŞ
Claim,Fotoğrafların Canan Kaftancıoğlu’nu Kandil’de gösterdiği iddiası,https://teyit.org/fotograflarin-canan-kaftancioglunu-kandilde-gosterdigi-iddiasi/,2019-04-22,"İDDİA / Fotoğraf: CHP İstanbul İl Başkanı Canan Kaftancıoğlu, PKK’lılarla yan yana.",YANLIŞ
Claim,Fotoğrafta Akar’ın yanındaki kişi Kılıçdaroğlu’na saldıran Sarıgün değil,https://teyit.org/fotografta-akarin-yanindaki-kisi-kilicdarogluna-saldiran-sarigun-degil/,2019-04-23,İDDİA: Fotoğrafta Hulusi Akar’ın yanında oturan kişi Kemal Kılıçdaroğlu’na yumruk atan saldırgan.,YANLIŞ
Claim,CHP’li Mersin Büyükşehir Belediyesinin Halk Ekmek’i kapattığı iddiası,https://teyit.org/chpnin-mersin-buyuksehir-belediyesinde-halk-ekmeki-kapattigi-iddiasi/,2019-04-24,İDDİA: CHP’li Mersin Büyükşehir Belediyesi Halk Ekmek’i kapattı.,YANLIŞ
Claim,Videonun iki Türk’ün ABD’de mahkemeye çıktığını gösterdiği iddiası,https://teyit.org/videonun-iki-turkun-abdde-mahkemeye-ciktigini-gosterdigi-iddiasi/,2019-04-25,"İDDİA:  Video, ABD’de bir mahkemeye çıkan iki Türk’ü gösteriyor.",DOĞRU
Claim,Küçükçekmece’de istismar edilen kız çocuğunun vefat ettiği iddiası,https://teyit.org/kucukcekmecede-istismar-edilen-kiz-cocugunun-vefat-ettigi-iddiasi/,2019-04-25,İDDİA: Küçükçekmece’de istismar edilen çocuk vefat etti.,YANLIŞ
Claim,Fotoğrafın 23 Nisan gecesi İstanbul’a asılan Binali Yıldırım afişlerini gösterdiği iddiası,https://teyit.org/fotografin-23-nisan-gecesi-istanbula-asilan-binali-yildirim-afislerini-gosterdigi-iddiasi/,2019-04-26,"İDDİA: İstanbul’un Pendik ilçesindeki reklam panolarına, 23 Nisan 2019 tarihinde gece saatlerinde Binali Yıldırım afişleri asıldı.",YANLIŞ
Claim,Fotoğrafın kansere neden olan siyahlaşmış soğanları gösterdiği iddiası,https://teyit.org/fotografin-kansere-neden-olan-siyahlasmis-soganlari-gosterdigi-iddiasi/,2019-04-28,İDDİA: Siyahlaşan soğanlar kansere yol açıyor.,YANLIŞ
Claim,Japon bilim insanlarının insanlardaki stres seviyesini ölçmek için hazırladığı görsel iddiası,https://teyit.org/japon-bilim-insanlarinin-insanlardaki-stres-seviyesini-olcmek-icin-hazirladigi-gorsel-iddiasi/,2019-04-27,İDDİA / Fotoğraf: İnsanlardaki stres seviyesini ölçmek için Japon nöroloji uzmanları tarafından hazırlanan görsel.,YANLIŞ
Claim,Videonun trafik ışıklarına uyan ördekleri gösterdiği iddiası,https://teyit.org/videonun-trafik-isiklarina-uyan-ordekleri-gosterdigi-iddiasi/,2019-04-29,"İDDİA: Video, Almanya’daki ördeklerin yolda karşıdan karşıya geçerken trafik ışıklarına uyduğunu gösteriyor.",YANLIŞ
Claim,Fotoğrafın çocuk pornosu lehine açılan pankartları gösterdiği iddiası,https://teyit.org/fotografin-cocuk-pornosu-lehine-acilan-pankartlari-gosterdigi-iddiasi/,2019-04-29,İDDİA: Fotoğraf Türkiye’de internette çocuk pornosuna erişimin yasaklanmasından sonra bir çocuk ve bir erkeğin Kadıköy’de açtığı pankartı gösteriyor.,YANLIŞ
Claim,Fotoğrafın Kılıçdaroğlu’na saldıran Sarıgün’ü savunacak 800 avukatı gösterdiği iddiası,https://teyit.org/fotografin-kilicdarogluna-saldiran-sarigunu-savunacak-800-avukati-gosterdigi-iddiasi/,2019-04-29,İDDİA: Fotoğraflar Kılıçdaroğlu’na yumruk atan kişiyi savunmak isteyen 800 avukatı gösteriyor.,YANLIŞ
Claim,Köfteci Yusuf restoran zincirlerini Bilal Erdoğan’ın satın aldığı iddiası,https://teyit.org/kofteci-yusuf-restoran-zincirlerini-bilal-erdoganin-satin-aldigi-iddiasi/,2019-04-29,İDDİA: Köfteci Yusuf restoran zincirlerini Bilal Erdoğan satın aldı.,YANLIŞ
Claim,Videonun Nagehan Alçı’nın mezuniyet törenini gösterdiği iddiası,https://teyit.org/videonun-nagehan-alcinin-mezuniyet-torenini-gosterdigi-iddiasi/,2019-04-30,İDDİA: Nagehan Alçı’nın mezuniyet konuşması,YANLIŞ
Claim,The Simpsons Notre Dame yangınını öngörmüş müydü?,https://teyit.org/the-simpsons-notre-dame-yanginini-ongormus-muydu/,2019-04-19,İDDİA: Amerikan animasyon dizisi The Simpsons’ın bir bölümünde Paris’teki Notre Dame yangını tahmin edilmişti.,YANLIŞ
Claim,Fotoğrafın İmamoğlu’nu mazbata alırken gösterdiği iddiası,https://teyit.org/fotografin-imamoglunu-mazbata-alirken-gosterdigi-iddiasi/,2019-04-18,İDDİA / Fotoğraf: Ekrem İmamoğlu mazbatasını alırken görüntülendi.,YANLIŞ
Claim,Fotoğrafın CHP Kadın Kollarından Ayla Öcalan isimli kişiyi ve sözlerini gösterdiği iddiası,https://teyit.org/fotografin-chp-kadin-kollarindan-ayla-ocalan-isimli-kisiyi-ve-sozlerini-gosterdigi-iddiasi/,2019-04-19,İDDİA / Fotoğraf: CHP Kadın Kollarından Ayla Öcalan isimli kişi İstanbul’daki cami sayısının fazlalığından ve ezan sesinden şikayet etti.,YANLIŞ
Claim,Lady Gaga’nın Yeni Zelanda’da hayatını kaybedenler için sure okuduğu iddiası,https://teyit.org/lady-gaganin-yeni-zelandada-hayatini-kaybedenler-icin-sure-okudugu-iddiasi/,2019-04-09,"İDDİA: ABD’li şarkıcı Lady Gaga, Yeni Zelanda’da yaşanan terör saldırısında hayatını kaybedenler için bir radyo programında Duha Suresi’ni okudu.",YANLIŞ
Claim,ODTÜ bahar şenlikleri için ses sistemi olan ‘traktor’ değil taşıt olan ‘traktör’ istendi,https://teyit.org/odtu-bahar-senlikleri-icin-ses-sistemi-olan-traktor-degil-tasit-olan-traktor-istendi/,2019-04-18,İDDİA: ODTÜ bahar şenlikleri için öğrenciler rektörlükten taşıt değil “traktor” isimli ses sistemi talep ettiler.,YANLIŞ
Claim,Havalimanındaki restoran ve bu restoranın Bilal ve Sümeyye Erdoğan’la bağlantısı hakkındaki iddialar,https://teyit.org/havalimanindaki-restoran-ve-bu-restoranin-bilal-ve-sumeyye-erdoganla-baglantisi-hakkindaki-iddialar/,2019-04-09,İDDİA: Bilal ve Sümeyye Erdoğan’ın ortakları İstanbul Havalimanında hizmet veren tek restoranın sahibi.,KARMA
Claim,Fotoğraflar Binali Yıldırım’ın ‘Teşekkürler İstanbul’ afişlerinin yanına asılan İmamoğlu afişlerini mi gösteriyor?,https://teyit.org/fotograflar-binali-yildirimin-tesekkurler-istanbul-afislerinin-yanina-asilan-imamoglu-afislerini-mi-gosteriyor/,2019-04-10,İDDİA: Binali Yıldırım’ın “Teşekkürler İstanbul” afişlerinin yanındaki Ekrem İmamoğlu afişleri.,YANLIŞ
Claim,Fotoğraftaki el yazısının Mansur Yavaş’a ait olduğu iddiası,https://teyit.org/fotograftaki-el-yazisinin-mansur-yavasa-ait-oldugu-iddiasi/,2019-04-10,İDDİA: Fotoğraftaki el yazısı Mansur Yavaş’a ait.,YANLIŞ
Claim,Videonun 2019 yerel seçimlerinde yinelenen oy sayımları sırasında çekildiği iddiası,https://teyit.org/videonun-2019-yerel-secimlerinde-yinelenen-oy-sayimlari-sirasinda-cekildigi-iddiasi/,2019-04-11,İDDİA: Video 2019 yerel seçimlerinde itirazlar sonucu yinelenen oy sayımı sırasında yaşanan bir olayı gösteriyor.,YANLIŞ
Claim,Fotoğrafların Ahlat’taki Cumhurbaşkanlığı Köşkü’nü gösterdiği iddiası,https://teyit.org/fotograflarin-ahlattaki-cumhurbaskanligi-koskunu-gosterdigi-iddiasi/,2019-04-12,"İDDİA: Fotoğraf, Van Gölü kıyısına yapılacak Cumhurbaşkanlığı köşkünü gösteriyor.",DOĞRU
Claim,Artvin Belediyesi’nin ezanı yasaklayıp hoparlörden Mozart çaldığı iddiası,https://teyit.org/artvin-belediyesinin-ezani-yasaklayip-hoparlorden-mozart-caldigi-iddiasi/,2019-04-12,"İDDİA: Artvin Belediye Başkanı Demirhan Elçin, ezanı yasakladı.",YANLIŞ
Claim,HDP seçimde kazandığı Kızıltepe Belediyesinin binasından Türk bayrağını indirmedi,https://teyit.org/hdp-secimde-kazandigi-kiziltepe-belediyesinin-binasindan-turk-bayragini-indirmedi/,2019-04-15,İDDİA: Mardin Kızıltepe’nin HDP’li eş başkanları seçildikten sonra ilk iş olarak belediye binasına asılan Türk bayrağını indirdi.,YANLIŞ
Claim,Videonun tek tuşla renk değiştirebilen Lamborghini aracı gösterdiği iddiası,https://teyit.org/videonun-tek-tusla-renk-degistirebilen-lamborghini-araci-gosterdigi-iddiasi/,2019-04-15,İDDİA: Videoda tek tuşla Lamborghini marka aracın rengi değişiyor.,YANLIŞ
Claim,Fotoğrafın Notre Dame Katedrali’nin yangından önceki halini gösterdiği iddiası,https://teyit.org/fotografin-notre-dame-katedralinin-yangindan-onceki-halini-gosterdigi-iddiasi/,2019-04-16,"İDDİA: Fotoğraf, Notre Dame Katedrali’nin yangından önceki halini gösteriyor.",YANLIŞ
Claim,Cumhurbaşkanı Erdoğan’ın imzaladığı ve İBB’ye gönderilen ‘Çok Gizli Belge’ iddiası,https://teyit.org/cumhurbaskani-erdoganin-imzaladigi-ve-ibbye-gonderilen-cok-gizli-belge-iddiasi/,2019-04-16,İDDİA / Belge: Cumhurbaşkanı tarafından imzalanarak İstanbul Büyükşehir Belediye Başkanlığına gönderilen çok gizli belge.,YANLIŞ
